id,LotArea,OverallCond,YearBuilt,X1stFlrSF,X2ndFlrSF,BsmtFullBath,FullBath,TotRmsAbvGrd,GarageCars,SalePrice,employee_id
53,8472,5,1963,816,0,1,1,5,2,110000,1
54,50271,5,1981,1842,0,2,0,5,3,385000,1
55,7134,5,1955,1360,0,0,1,6,2,130000,1
56,10175,5,1964,1425,0,0,2,7,2,180500,1
57,2645,5,1999,983,756,1,2,7,2,172500,1
58,11645,5,2004,860,860,0,2,7,2,196500,1
59,13682,5,2006,1426,1519,0,3,10,3,438780,1
60,7200,7,1972,780,0,0,1,4,1,124900,1
61,13072,5,2004,1158,0,1,1,5,2,158000,1
62,7200,7,1920,581,530,0,1,6,1,101000,1
63,6442,5,2006,1370,0,0,2,6,2,202500,1
64,10300,6,1921,902,808,0,2,9,2,140000,1
65,9375,5,1997,1057,977,1,2,8,2,219500,1
66,9591,5,2004,1143,1330,0,2,9,3,317000,1
67,19900,5,1970,2207,0,1,2,7,2,180000,1
68,10665,5,2003,1479,0,1,2,7,2,226000,1
69,4608,6,1945,747,0,0,1,4,1,80000,1
70,15593,4,1953,1304,983,0,2,7,2,225000,1
71,13651,6,1973,2223,0,1,2,8,2,244000,1
72,7599,6,1982,845,0,1,1,4,2,129500,1
73,10141,5,1998,885,833,0,2,7,2,185000,1
74,10200,7,1954,1086,0,1,1,6,2,144900,1
75,5790,6,1915,840,765,0,2,8,1,107400,1
76,1596,5,1973,526,462,1,1,5,1,91000,1
77,8475,7,1956,952,0,0,1,4,1,135750,1
78,8635,5,1948,1072,213,1,1,6,1,127000,1
79,10778,5,1968,1768,0,0,2,8,0,136500,1
80,10440,6,1910,682,548,0,1,5,2,110000,1
81,13000,6,1968,1182,960,0,2,8,1,193500,1
82,4500,5,1998,1337,0,1,2,5,2,153500,1
83,10206,5,2007,1563,0,0,2,6,3,245000,1
84,8892,5,1960,1065,0,0,1,6,2,126500,1
85,8530,5,1995,804,670,0,2,7,2,168500,1
86,16059,5,1991,1301,1116,0,2,9,2,260000,1
87,11911,5,2005,684,876,0,2,6,2,174000,1
88,3951,5,2009,612,612,0,2,4,2,164500,1
89,8470,2,1915,1013,0,0,1,6,0,85000,1
90,8070,5,1994,990,0,1,1,5,0,123600,1
91,7200,5,1950,1040,0,0,1,4,2,109900,1
92,8500,3,1961,1235,0,0,1,6,2,98600,1
93,13360,7,1921,964,0,1,1,5,2,163500,1
94,7200,6,1910,1260,1031,0,2,9,2,133900,1
95,9337,5,1997,905,881,1,2,7,2,204750,1
96,9765,8,1993,680,790,0,2,6,2,185000,1
97,10264,5,1999,1588,0,0,2,6,2,214000,1
98,10921,5,1965,960,0,1,1,6,1,94750,1
99,10625,5,1920,835,0,0,1,5,1,83000,1
100,9320,5,1959,1225,0,1,1,6,0,128950,1
101,10603,7,1977,1610,0,1,2,6,2,205000,1
102,9206,5,1985,977,755,0,2,7,2,178000,1
103,7018,5,1979,1535,0,0,2,8,2,118964,1
104,10402,5,2009,1226,0,0,2,6,3,198900,1
105,7758,4,1931,1226,592,0,1,7,1,169500,1
106,9375,5,2003,1053,939,0,2,9,2,250000,1
107,10800,7,1885,1047,0,0,1,6,1,100000,1
108,6000,5,1948,789,0,0,1,5,1,115000,1
109,8500,7,1919,997,520,0,2,7,0,115000,1
110,11751,6,1977,1844,0,0,2,7,2,190000,1
111,9525,4,1954,1216,639,0,2,7,1,136900,1
112,7750,5,2000,774,656,0,2,7,2,180000,1
113,9965,5,2007,1282,1414,1,2,10,3,383970,1
114,21000,5,1953,2259,0,1,2,7,2,217000,1
115,7259,8,1945,1436,884,1,2,9,1,259500,1
116,3230,5,1999,729,729,0,2,5,2,176000,1
117,11616,5,1962,1092,0,0,1,6,1,139000,1
118,8536,5,2006,1125,0,0,1,5,2,155000,1
119,12376,5,1990,1699,1523,1,3,11,3,320000,1
120,8461,5,2005,728,728,0,2,8,2,163990,1
121,21453,5,1969,988,0,1,1,4,2,180000,1
122,6060,5,1939,772,351,0,1,4,1,100000,1
123,9464,7,1958,1080,0,0,1,5,1,136000,1
124,7892,5,1993,1199,0,0,2,5,2,153900,1
125,17043,5,1979,1586,0,0,2,7,2,181000,1
126,6780,8,1935,520,0,1,1,5,0,84500,1
127,4928,5,1976,958,0,0,2,5,2,128000,1
128,4388,7,1930,840,0,0,1,5,0,87000,1
129,7590,5,1966,660,688,0,1,6,2,155000,1
130,8973,7,1958,1053,0,0,1,6,2,150000,1
131,14200,6,1966,1216,941,0,2,8,2,226000,1
132,12224,5,2000,1022,1032,1,2,7,2,244000,1
133,7388,6,1959,1327,0,1,1,7,2,150750,1
134,6853,5,2001,1296,0,1,2,6,2,220000,1
135,10335,6,1968,1721,0,0,2,7,2,180000,1
136,10400,6,1970,1682,0,0,2,7,2,174000,1
137,10355,5,1967,1214,0,0,2,5,1,143000,1
138,11070,5,1988,1959,0,0,3,9,3,171000,1
139,9066,5,1999,1004,848,0,2,7,3,230000,1
140,15426,5,1997,928,836,1,2,7,2,231500,1
141,10500,5,1971,864,0,0,1,5,0,115000,1
142,11645,5,2005,1734,0,1,2,7,2,260000,1
143,8520,4,1952,910,475,0,2,6,2,166000,1
144,10335,5,1999,1501,0,1,2,6,2,204000,1
145,9100,5,1963,1728,0,1,2,10,2,125000,1
146,2522,5,2004,970,739,0,2,7,2,130000,1
147,6120,7,1931,875,0,1,1,5,1,105000,1
148,9505,5,2001,884,1151,0,2,8,2,222500,1
149,7500,5,2004,1080,0,1,1,6,0,141000,1
150,6240,4,1936,896,448,0,1,7,1,115000,1
151,10356,6,1975,969,0,0,1,5,2,122000,1
152,13891,5,2007,1710,0,1,2,6,3,372402,1
153,14803,5,1971,1097,896,0,2,8,2,190000,1
154,13500,7,1960,1252,0,1,1,4,2,235000,1
155,11340,5,1923,1200,0,0,1,7,1,125000,1
156,9600,5,1924,572,524,0,1,5,0,79000,1
157,7200,7,1950,1040,0,0,1,5,2,109500,1
158,12003,5,2009,774,1194,0,2,8,3,269500,1
159,12552,5,2004,991,956,0,2,8,2,254900,1
160,19378,5,2005,1392,1070,1,2,9,2,320000,1
161,11120,6,1984,1232,0,0,2,6,2,162500,1
162,13688,5,2003,1572,1096,1,2,10,3,412500,1
163,12182,5,2005,1541,0,0,2,7,2,220000,1
164,5500,6,1956,882,0,0,1,4,0,103200,1
165,5400,7,1926,1149,467,0,2,5,1,152000,1
166,10106,7,1940,808,547,1,2,6,0,127500,1
167,10708,5,1955,1867,0,1,1,7,1,190000,1
168,10562,5,2007,1610,551,1,1,8,3,325624,1
169,8244,5,2004,840,880,0,2,7,2,183500,1
170,16669,6,1981,1707,0,0,2,6,2,228000,1
171,12358,6,1941,854,0,0,1,7,2,128500,1
172,31770,5,1960,1656,0,1,1,7,2,215000,1
173,5306,7,1987,1064,703,1,2,5,2,239000,1
174,10197,5,1961,1362,0,1,1,6,2,163000,1
175,12416,5,1986,1651,0,1,2,7,2,184000,1
176,12615,7,1950,2158,0,1,2,7,2,243000,1
177,10029,5,1988,1164,896,0,2,8,2,211000,1
178,13650,5,1958,1252,668,1,2,8,2,172500,1
179,17423,5,2008,2234,0,1,2,9,3,501837,1
180,8520,6,1923,968,0,0,1,5,2,100000,1
181,2117,5,2000,769,756,0,2,5,2,177000,1
182,7588,6,1920,901,901,0,1,9,1,200100,1
183,9060,6,1957,1340,0,0,1,7,1,120000,1
184,11426,5,2003,1362,720,0,2,6,2,200000,1
185,7438,8,1908,936,316,0,1,5,2,127000,1
186,22950,9,1892,1518,1518,0,2,12,3,475000,1
187,9947,5,1990,1217,0,1,2,6,2,173000,1
188,10410,7,1916,808,704,0,2,8,1,135000,1
189,7018,5,1979,1224,0,2,0,6,2,153337,1
190,4923,5,2001,1593,0,1,1,5,2,286000,1
191,10570,8,1932,1549,1178,0,2,10,2,315000,1
192,7472,9,1972,725,754,1,1,7,2,184000,1
193,9017,5,1999,1431,0,1,2,6,2,192000,1
194,2522,5,2004,970,739,0,2,7,2,130000,1
195,7180,7,1972,864,0,0,1,5,1,127000,1
196,2280,6,1976,855,601,0,2,7,2,148500,1
197,9416,5,2007,1726,0,1,2,8,3,311872,1
198,25419,4,1918,1360,1360,1,2,8,2,235000,1
199,5520,6,1912,929,929,0,1,8,0,104000,1
200,9591,5,2004,1713,0,1,2,7,3,274900,1
201,8546,5,2003,1121,0,0,2,5,2,140000,1
202,10125,6,1977,1279,0,0,2,6,2,171500,1
203,7000,6,1924,865,445,0,2,6,1,112000,1
204,4438,5,2004,848,0,1,1,3,2,149000,1
205,3500,7,1947,720,564,0,1,5,1,110000,1
206,11851,5,1990,1442,0,0,2,5,2,180500,1
207,13673,5,1962,1696,0,0,1,8,1,143900,1
208,12493,5,1960,1100,0,1,1,6,1,141000,1
209,14364,5,1988,1180,882,1,2,7,2,277000,1
210,8250,7,1964,1092,0,1,1,6,2,145000,1
211,5604,6,1925,864,0,1,1,5,0,98000,1
212,10420,5,2009,1212,0,0,2,6,2,186000,1
213,8640,5,2009,932,920,1,2,7,2,252678,1
214,13568,5,1995,990,0,0,1,5,2,156000,1
215,10900,7,1977,689,703,0,1,6,1,161750,1
216,10011,6,1957,1236,0,0,1,6,1,134450,1
217,8450,5,2004,1436,0,1,2,8,2,210000,1
218,9906,4,1925,810,518,0,1,8,1,107000,1
219,15660,9,1939,1137,817,0,1,8,2,311500,1
220,3010,5,2005,1248,0,0,2,5,2,167240,1
221,8990,5,2006,1498,0,0,2,5,2,204900,1
222,8068,5,2002,1010,1257,0,2,8,2,200000,1
223,11475,6,1975,811,741,1,2,6,2,179900,1
224,10500,6,1971,864,0,0,1,4,2,97000,1
225,13472,5,2003,2392,0,0,2,8,3,386250,1
226,1680,5,1971,630,672,0,2,6,1,112000,1
227,9950,5,1995,1214,1306,0,2,9,3,290000,1
228,1869,6,1970,483,504,0,1,5,1,106000,1
229,8521,5,1967,912,0,0,1,5,1,125000,1
230,3182,5,2005,1555,0,0,2,7,2,192500,1
231,8760,6,1959,1194,0,1,1,6,1,148000,1
232,15138,5,1995,1490,1304,1,2,9,3,403000,1
233,1680,5,1972,483,504,0,1,5,1,94500,1
234,10650,6,1976,894,0,1,1,5,1,128200,1
235,7851,5,2002,860,1100,1,2,8,2,216500,1
236,1680,3,1971,483,504,0,1,5,1,89500,1
237,8773,5,2004,1414,0,0,2,6,2,185500,1
238,9453,7,1993,1014,730,0,2,7,2,194500,1
239,12030,5,2007,1694,0,0,2,7,3,318000,1
240,8741,4,1945,798,689,0,1,7,1,113000,1
241,9000,5,2008,1566,0,1,2,7,2,262500,1
242,3880,9,1945,866,0,0,1,4,0,110500,1
243,5000,4,1900,889,551,0,1,6,1,79000,1
244,10762,6,1980,626,591,0,1,6,1,120000,1
245,8880,5,1994,1222,888,1,2,8,2,205000,1
246,10400,5,1988,1872,0,0,2,6,2,241500,1
247,9142,8,1910,908,1020,0,2,9,1,137000,1
248,11310,5,1954,1375,0,0,1,5,2,140000,1
249,11317,5,2003,840,828,0,2,8,2,180000,1
250,159000,7,1958,1444,700,0,2,7,2,277000,1
251,5350,2,1940,1306,0,0,1,6,0,76500,1
252,4750,5,2006,1625,0,1,2,5,2,235000,1
253,8366,5,2004,798,842,0,2,6,2,173000,1
254,9350,7,1964,1302,0,0,2,7,1,158000,1
255,8400,6,1957,1314,0,1,1,5,1,145000,1
256,8738,5,1999,1005,1286,0,2,8,2,230000,1
257,8791,5,2003,864,864,0,2,7,2,207500,1
258,8814,5,2006,1604,0,1,2,8,2,220000,1
259,12435,5,2001,963,829,0,2,7,2,231500,1
260,12702,5,1956,882,0,0,1,4,1,97000,1
261,19296,5,1962,1382,0,1,1,6,2,176000,1
262,9588,5,2007,1482,1092,0,2,10,3,276000,1
263,8471,7,1977,1212,0,1,1,6,2,151000,1
264,5500,7,1929,926,0,1,1,6,2,130000,1
265,5232,5,1925,764,0,0,1,4,2,73000,1
266,12090,6,1981,1422,0,0,2,7,2,175500,1
267,11207,5,1997,802,709,1,2,8,2,185000,1
268,8400,8,1939,1052,720,0,2,8,1,179500,1
269,6900,6,1940,778,0,0,1,4,1,120500,1
270,7917,7,1976,1113,0,1,1,6,1,148000,1
271,10728,5,2006,1095,844,0,2,8,3,266000,1
272,39104,7,1954,1363,0,1,1,5,2,241500,1
273,11764,7,1999,1164,1106,0,2,9,3,290000,1
274,9600,6,1958,1632,0,1,2,6,1,139000,1
275,8314,7,1982,816,0,0,1,5,1,124500,1
276,7264,7,1925,952,596,0,2,5,2,205000,1
277,9196,5,2003,1560,0,0,2,7,2,201000,1
278,19138,5,1951,864,0,0,1,4,2,141000,1
279,14450,5,2006,2121,0,0,2,8,3,415298,1
280,10005,5,1977,1156,866,0,2,8,2,192000,1
281,11287,6,1989,1175,807,0,2,7,2,228500,1
282,7200,5,2006,1262,0,0,2,5,2,185000,1
283,5063,5,2007,1314,0,1,2,6,2,207500,1
284,9612,5,2008,1468,0,0,2,6,3,244600,1
285,8012,5,1992,1575,0,1,2,5,2,179200,1
286,4251,5,2006,625,625,0,2,5,2,164700,1
287,9786,7,1962,1085,649,0,1,7,2,159000,1
288,8125,4,1971,858,0,0,1,5,0,88000,1
289,9819,5,1967,900,0,0,1,5,1,122000,1
290,8730,7,1915,698,698,0,1,7,1,153575,1
291,15611,5,2006,1079,840,0,2,8,2,233230,1
292,5687,6,1912,936,780,1,2,9,0,135900,1
293,11409,4,1949,1148,568,0,1,8,1,131000,1
294,16659,7,1977,1468,795,1,2,9,2,235000,1
295,9600,5,1953,1644,0,1,1,7,2,167000,1
296,7937,6,1984,1003,0,1,1,6,2,142500,1
297,13710,5,1950,910,648,0,1,6,1,152000,1
298,7399,5,1997,975,975,0,2,7,2,239000,1
299,11700,6,1968,1041,702,0,1,7,2,175000,1
300,14000,8,1950,1152,0,0,1,6,1,158500,1
301,15750,5,1953,1336,0,1,1,5,1,157000,1
302,16226,5,1998,1210,1242,0,2,9,2,267000,1
303,13704,5,2001,1541,0,0,2,6,3,205000,1
304,9800,7,1972,894,0,1,1,5,2,149900,1
305,18386,9,1880,1675,1818,0,3,10,3,295000,1
306,10386,5,2004,2000,0,1,2,8,3,305900,1
307,13474,5,1990,1122,1121,1,2,8,3,225000,1
308,7920,7,1920,1035,371,0,1,6,0,89500,1
309,12342,5,1940,861,0,0,1,4,2,82500,1
310,12378,5,2003,1944,0,1,2,8,3,360000,1
311,7685,5,1993,697,804,0,2,6,2,165600,1
312,8000,6,1948,972,0,1,1,5,1,132000,1
313,7800,7,1939,793,325,1,1,5,2,119900,1
314,215245,5,1965,2036,0,2,2,8,2,375000,1
315,9600,7,1925,832,809,0,1,6,2,178000,1
316,7795,5,2004,716,716,1,2,6,2,188500,1
317,13005,7,1980,1153,1200,1,2,10,2,260000,1
318,9000,5,2006,1088,871,0,2,8,3,270000,1
319,9900,5,1993,1372,1274,1,2,9,3,260000,1
320,14115,5,1980,1472,0,1,2,6,2,187500,1
321,16259,5,2006,1249,1347,0,3,9,3,342643,1
322,12099,5,2004,1136,1332,1,2,10,3,354000,1
323,10380,5,1986,1553,1177,1,2,8,2,301000,1
324,5820,8,1955,1163,0,1,1,6,1,126175,1
325,11275,7,1967,1898,1080,0,2,11,2,242000,1
326,5000,6,1941,803,0,0,1,5,2,87000,1
327,10846,5,1993,1719,0,2,1,6,2,324000,1
328,11600,5,1960,1383,0,0,1,7,1,145250,1
329,11888,6,1916,1445,689,0,2,10,2,214500,1
330,6402,5,1920,596,596,0,1,6,1,78000,1
331,10624,4,1964,1728,0,0,2,10,1,119000,1
332,8176,6,1958,1056,0,1,1,6,1,139000,1
333,10655,5,2003,1629,0,1,2,7,3,284000,1
334,8198,5,2004,1358,0,1,2,6,2,207000,1
335,9042,5,1998,943,695,1,2,7,2,192000,1
336,164660,6,1965,1619,167,2,2,7,2,228950,1
337,14157,5,2005,1922,0,1,2,8,3,377426,1
338,9135,5,2002,1536,0,1,2,7,2,214000,1
339,14145,7,1984,1621,0,1,2,8,2,202500,1
340,12400,7,1958,1215,0,0,1,6,1,155000,1
341,14191,5,2002,993,915,0,2,9,2,202900,1
342,8400,4,1950,841,0,0,1,4,1,82000,1
343,8544,4,1949,1040,0,0,2,6,2,87500,1
344,8849,5,2005,1684,0,0,2,6,2,266000,1
345,2592,3,1976,536,576,0,1,4,1,85000,1
346,6435,5,1939,972,605,0,1,6,1,140200,1
347,12772,8,1960,958,0,0,1,5,1,151500,1
348,17600,5,1960,1478,0,1,2,6,2,157500,1
349,2448,5,2003,764,862,1,2,6,2,154000,1
350,20431,5,2005,1848,880,1,2,10,3,437154,1
351,7820,5,2007,1869,0,0,2,6,2,318061,1
352,5271,5,1986,1453,0,1,1,6,2,190000,1
353,9084,6,1941,616,495,0,1,5,1,95000,1
354,8520,8,1928,720,0,0,1,5,2,105900,1
355,8400,5,1940,1192,403,0,1,6,1,140000,1
356,11249,5,1995,1200,0,1,2,6,2,177500,1
357,9248,6,1992,1167,0,1,2,6,2,173000,1
358,4224,5,1976,1142,0,1,1,6,2,134000,1
359,6930,4,1958,1352,0,0,1,6,1,130000,1
360,12011,5,1998,1086,838,1,2,7,2,280000,1
361,7540,6,1978,912,0,1,1,5,2,156000,1
362,9144,5,1940,988,517,1,1,8,1,145000,1
363,7301,5,2003,495,1427,0,3,7,2,198500,1
364,1680,8,1972,483,504,0,1,5,1,118000,1
365,18800,5,1976,790,784,1,2,6,2,190000,1
366,10690,7,1920,672,672,0,1,6,1,147000,1
367,9500,5,1963,1394,0,1,1,6,2,159000,1
368,9150,5,1962,1431,0,0,1,6,1,165000,1
369,7800,6,1954,1268,0,0,1,7,1,132000,1
370,9830,7,1959,1287,0,1,1,7,2,162000,1
371,8121,5,2000,953,711,0,2,7,2,172400,1
372,17120,4,1959,1120,468,0,2,7,2,134432,1
373,7175,5,1984,752,0,1,1,4,1,125000,1
374,10634,6,1953,1319,0,1,1,5,1,123000,1
375,8200,5,2003,847,1081,0,2,8,2,219500,1
376,10020,1,1922,904,0,1,0,4,0,61000,1
377,8846,5,1996,914,0,0,1,5,2,148000,1
378,11143,5,2004,1580,886,0,3,8,2,340000,1
379,11394,2,2010,1856,0,1,1,8,3,394432,1
380,8123,5,2000,1007,793,0,2,7,2,179000,1
381,5000,6,1924,1026,665,0,2,6,1,127000,1
382,7200,5,2006,1301,0,1,2,5,2,187750,1
383,9245,5,2006,939,858,0,2,8,2,213500,1
384,9000,3,1928,784,0,0,1,5,2,76000,1
385,53107,5,1992,1079,874,1,2,9,2,240000,1
386,3182,5,2004,1269,0,0,2,6,2,192000,1
387,8410,3,1910,658,526,0,1,8,0,81000,1
388,7200,6,1976,1125,0,1,1,6,1,125000,1
389,9382,5,1999,1479,0,0,2,6,2,191000,1
390,12474,5,2007,1742,590,1,2,9,3,426000,1
391,8405,8,1900,961,406,1,1,7,1,119000,1
392,12209,5,2001,804,1157,1,2,7,2,215000,1
393,8339,7,1959,882,0,0,1,5,1,106500,1
394,7446,5,1941,788,0,0,1,4,0,100000,1
395,10134,6,1940,735,299,0,1,5,1,109000,1
396,9571,6,1956,1144,0,1,1,6,1,129000,1
397,7200,5,1972,894,0,0,1,6,2,123000,1
398,7590,5,1962,876,936,0,2,8,1,169500,1
399,8967,2,1920,1077,0,0,1,6,1,67000,1
400,8125,5,2006,1112,438,1,2,7,2,241000,1
401,14963,5,1996,1288,0,1,1,4,2,245500,1
402,8767,5,2005,1310,0,0,2,6,2,164990,1
403,10200,8,1940,672,0,0,1,4,1,108000,1
404,12090,5,1998,1165,1098,0,2,10,2,258000,1
405,10364,5,1995,806,766,0,2,7,2,168000,1
406,9991,4,1976,1620,0,1,2,8,2,150000,1
407,10480,5,1936,1166,0,0,1,6,1,115000,1
408,15576,7,1915,840,840,0,2,8,1,177000,1
409,14154,5,2006,1071,1101,0,2,9,3,280000,1
410,10800,5,2007,1050,1028,1,2,8,3,339750,1
411,9571,3,1958,1276,0,0,1,5,1,60000,1
412,34650,5,1955,1056,0,1,1,5,2,145000,1
413,4403,5,2009,1478,0,1,2,7,2,222000,1
414,8960,6,1927,1028,0,0,1,5,2,115000,1
415,11228,5,1993,1080,1017,0,2,9,3,228000,1
416,8899,5,2007,1340,0,0,2,6,2,181134,1
417,7844,7,1978,672,728,0,1,6,2,149500,1
418,22420,6,1918,1370,1254,1,2,10,3,239000,1
419,8160,6,1940,756,378,1,1,7,1,126000,1
420,8450,6,1968,1056,0,1,1,6,1,142000,1
421,7060,5,1997,1344,0,2,2,8,4,206300,1
422,16635,7,1977,1602,0,0,2,8,2,215000,1
423,21750,5,1954,988,0,0,1,4,2,113000,1
424,9200,5,1998,1470,1160,1,2,8,3,315000,1
425,9000,5,1956,1196,0,1,1,6,1,139000,1
426,3378,8,1946,707,682,0,1,6,1,135000,1
427,12800,5,1989,1644,0,1,2,5,2,275000,1
428,8593,6,1957,907,0,0,1,5,1,109008,1
429,6762,5,2007,1208,0,1,2,6,2,195400,1
430,11457,5,1988,1412,0,1,2,6,2,175000,1
431,1680,5,1971,483,504,0,1,4,1,85400,1
432,5586,7,1920,1088,110,0,1,7,0,79900,1
433,1920,5,1971,765,600,1,1,6,2,122500,1
434,10839,5,1997,926,678,0,2,7,2,181000,1
435,1890,7,1972,630,0,1,1,3,0,81000,1
436,10667,6,1996,827,834,1,2,6,2,212000,1
437,4400,8,1920,734,384,0,1,6,2,116000,1
438,6000,7,1926,904,0,0,1,4,1,119000,1
439,4280,6,1913,694,0,0,1,4,1,90350,1
440,12354,8,1920,684,512,0,1,7,2,110000,1
441,15431,5,2008,2402,0,1,2,10,3,555000,1
442,12108,4,1955,1440,0,0,2,8,0,118000,1
443,6240,7,1930,1128,445,0,2,8,2,162900,1
444,3922,5,2006,1258,0,0,2,6,3,172500,1
445,8750,5,1994,933,975,1,2,8,2,210000,1
446,9855,5,1956,1689,0,0,1,7,2,127500,1
447,16492,6,1966,1888,0,0,2,6,2,190000,1
448,11214,5,1998,956,930,0,2,10,2,199900,1
449,8600,6,1937,780,596,0,2,7,1,119500,1
450,6000,7,1948,679,504,0,1,6,1,120000,1
451,5684,8,1930,813,0,0,1,5,1,110000,1
452,70761,5,1975,1533,0,1,2,5,2,280000,1
453,9303,5,1996,888,868,1,2,7,2,204000,1
454,9000,5,2008,786,804,0,2,6,2,210000,1
455,9297,5,1976,1728,0,2,2,8,2,188000,1
456,9600,6,1973,1242,0,0,1,6,2,175500,1
457,4571,5,1916,624,720,0,1,7,3,98000,1
458,53227,6,1954,1663,0,1,1,6,2,256000,1
459,5100,7,1925,833,833,0,1,7,1,161000,1
460,7015,4,1950,979,224,1,1,5,1,110000,1
461,8004,5,2009,832,1103,1,2,8,2,263435,1
462,7200,9,1936,575,560,1,1,6,2,155000,1
463,8281,5,1965,864,0,0,1,5,1,62383,1
464,11988,7,1934,849,811,0,1,6,1,188700,1
465,8430,5,1978,1040,0,0,2,5,0,124000,1
466,3072,5,2004,1414,0,0,2,6,2,178740,1
467,10628,5,1970,1277,0,1,1,5,2,167000,1
468,9480,7,1942,888,756,0,1,7,1,146500,1
469,11428,5,2006,1634,0,0,2,7,3,250000,1
470,9291,5,1993,832,878,0,2,7,2,187000,1
471,6820,5,1985,1502,0,1,1,4,2,212000,1
472,11952,6,1977,1161,808,0,2,8,2,190000,1
473,3675,5,2005,1072,0,1,1,5,2,148000,1
474,14977,5,2006,1976,0,1,2,7,3,440000,1
475,5330,5,2000,1652,0,1,2,6,2,251000,1
476,8480,6,1963,970,0,1,1,5,2,132500,1
477,13125,5,1997,1493,0,1,2,7,2,208900,1
478,13693,5,2006,2069,574,0,2,9,3,380000,1
479,10637,5,2007,1718,0,1,2,7,3,297000,1
480,5925,7,1937,1131,0,0,1,7,2,89471,1
481,16033,5,2004,1850,0,1,2,8,3,326000,1
482,11846,5,2003,1792,0,1,2,6,3,374000,1
483,2500,8,1915,916,910,1,1,7,1,155000,1
484,4500,5,1998,1216,0,1,2,5,2,164000,1
485,7758,7,1962,999,0,1,1,6,1,132500,1
486,9600,7,1950,1113,0,0,1,5,1,147000,1
487,10289,7,1965,1073,0,1,1,6,2,156000,1
488,12243,6,1971,1484,0,0,2,7,2,175000,1
489,10800,4,1900,1766,648,0,2,10,2,160000,1
490,1526,8,1970,630,0,1,1,3,1,86000,1
491,2665,6,1976,616,688,0,1,4,1,115000,1
492,9490,7,1941,958,620,1,1,5,1,133000,1
493,15578,5,2006,728,728,0,2,8,2,172785,1
494,7931,6,1960,1269,0,0,1,6,1,155000,1
495,5784,8,1938,886,0,0,1,4,1,91300,1
496,7879,5,1920,720,0,0,1,4,0,34900,1
497,12692,5,1992,3228,0,1,3,10,2,430000,1
498,9120,6,1925,1133,687,1,2,8,1,184000,1
499,7800,7,1967,899,0,0,1,5,1,130000,1
